Movie-Name,Year,Rating
Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai,2008,9.7
Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,2009,9.7
Hi o mo Yaki Tsukusu Chikara: Akainu Hijou no Tsuigeki,2011,9.7
Kotae o Sagashite: Hiken Ace Senjou ni Shisu,2011,9.7
Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!,2011,9.7
Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,2011,9.7
Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,2022,9.7
The Three-Sword Style of the Supreme King! Zoro vs. King,2023,9.7
Entering a New Chapter! Luffy and Sabo's Paths!,2024,9.7
Powers on a Different Level! Luffy vs. Lucci!,2024,9.7
Clash! Shanks vs. Eustass Kid,2024,9.7
For the Beloved Pupil - The Fist of Vice Admiral Garp!,2024,9.7
"The Navy Surprised! The Navy Headquarters' Former Admiral, Kuzan",2024,9.7
Kanashiki Kettou: Luffy tai Sanji (Kouhen),2017,9.7
Tekken Sakuretsu! Auction o Buttsubuse,2009,9.6
The Pirate King is Born: Arriving at the Last Island!,2021,9.6
Surpass the Emperor of the Sea! Luffy Strikes Back with an Iron Fist!,2022,9.6
The Winner Takes All! Law vs. Blackbeard!,2024,9.6
The Strongest Form of Humanity! The Seraphim's Powers,2024,9.6
Yuke Law: Yasashiki Otoko Saigo no Tatakai!,2015,9.6
Gear Fourth! Kyoui no Bounce Man!,2016,9.6
A Fist of Divine Speed! Another Gear Four Application Activated!,2019,9.6
Luffy VS Usopp! Butsukaru Otoko no Iji,2005,9.5
Ikitai to Ie! Oretachi wa Nakama Da!!,2006,9.5
Kobushi ni Kometa Omoi! Luffy Konshin no Gatling,2007,9.5
